
Date	Price	Open	High	Low	Vol.	Change %
8-11-2016	416.00	420.50	423.88	413.75	-	-1.22%
8-10-2016	421.12	415.88	427.50	415.50	-	1.11%
8-09-2016	416.50	415.75	419.25	411.75	-	-0.12%
8-08-2016	417.00	419.50	423.50	411.75	-	0.39%
8-05-2016	415.38	404.00	418.50	404.00	-	2.75%
8-04-2016	404.25	411.12	416.12	403.75	-	-1.40%
8-03-2016	410.00	402.75	415.00	401.25	-	2.31%
8-02-2016	400.75	405.75	410.50	399.38	-	-1.48%
8-01-2016	406.75	407.75	415.50	406.75	-	-0.12%
7-29-2016	407.25	411.12	412.75	403.75	-	-0.46%
7-28-2016	409.12	415.38	420.00	408.50	-	-1.42%
7-27-2016	415.00	415.62	421.00	414.25	-	0.03%
7-26-2016	414.88	425.38	429.25	414.25	-	-3.40%
7-25-2016	429.50	428.25	435.25	421.25	-	0.79%
7-22-2016	426.12	418.38	426.88	407.25	-	1.88%
7-21-2016	418.25	413.50	419.75	409.00	-	1.33%
7-20-2016	412.75	418.25	423.75	406.75	-	-1.37%
7-19-2016	418.50	427.50	428.25	416.50	-	-2.73%
7-18-2016	430.25	427.75	431.75	420.62	-	1.12%
7-15-2016	425.50	434.75	439.75	425.50	-	-1.90%
7-14-2016	433.75	442.38	448.00	431.38	-	-1.64%
7-13-2016	441.00	439.38	451.50	437.00	-	0.80%
7-12-2016	437.50	431.00	439.25	424.00	-	1.57%
7-11-2016	430.75	437.00	441.88	426.75	-	-1.09%
7-08-2016	435.50	427.25	439.50	424.00	-	2.32%
7-07-2016	425.62	430.38	438.75	424.50	-	-0.90%
7-06-2016	429.50	432.00	434.00	421.25	-	-0.46%
7-05-2016	431.50	431.25	432.50	416.00	-	0.20%
7-01-2016	430.62	445.38	445.50	428.25	-	-3.88%
6-30-2016	448.00	445.75	453.50	438.00	-	0.84%
6-29-2016	444.25	457.88	460.50	444.00	-	-3.06%
6-28-2016	458.25	458.38	467.25	456.50	-	-0.22%
6-27-2016	459.25	464.00	470.25	458.50	-	1.32%
6-24-2016	453.25	454.50	455.00	442.25	-	-0.17%
6-23-2016	454.00	459.50	461.50	453.50	-	-1.04%
6-22-2016	458.75	460.50	465.00	458.50	-	0.14%
6-21-2016	458.12	473.25	476.50	458.00	-	-3.30%
6-20-2016	473.75	477.00	479.75	473.75	-	-1.61%
6-17-2016	481.50	473.25	482.00	472.75	-	1.90%
6-16-2016	472.50	477.38	479.50	471.25	-	-1.25%
6-15-2016	478.50	482.88	489.75	478.50	-	-1.29%
6-14-2016	484.75	491.25	493.38	481.50	-	-1.47%
6-13-2016	492.00	498.25	503.25	491.50	-	-0.61%
6-10-2016	495.00	509.00	512.50	494.62	-	-2.89%
6-09-2016	509.75	517.88	519.00	506.25	-	-1.97%
6-08-2016	520.00	508.75	523.88	506.25	-	2.06%
6-07-2016	509.50	506.50	513.50	501.00	-	0.34%
6-06-2016	507.75	497.75	514.75	497.75	-	2.01%
6-03-2016	497.75	484.00	498.00	482.50	-	2.52%
6-02-2016	485.50	474.00	487.00	473.00	-	2.53%
6-01-2016	473.50	463.38	474.75	463.38	-	2.10%
5-31-2016	463.75	480.62	483.88	463.75	-	-3.69%
5-27-2016	481.50	481.38	484.75	479.00	-	0.16%
5-26-2016	480.75	465.75	481.50	465.50	-	3.11%
5-25-2016	466.25	464.00	468.88	463.25	-	0.38%
5-24-2016	464.50	462.75	470.00	458.25	-	0.43%
5-23-2016	462.50	467.38	469.12	461.25	-	-1.23%
5-20-2016	468.25	468.75	474.50	464.25	-	-0.21%
5-19-2016	469.25	478.50	479.75	462.75	-	-2.44%
5-18-2016	481.00	481.38	484.50	477.25	-	-0.10%
5-17-2016	481.50	473.50	484.50	473.25	-	1.21%
5-16-2016	475.75	473.75	476.75	467.75	-	0.21%
5-13-2016	474.75	468.25	477.50	465.00	-	1.44%
5-12-2016	468.00	457.62	468.00	457.62	-	1.96%
5-11-2016	459.00	461.50	464.75	457.00	-	-0.70%
5-10-2016	462.25	457.38	468.50	455.50	-	1.32%
5-09-2016	456.25	464.00	467.00	455.00	-	-1.78%
5-06-2016	464.50	462.62	470.25	462.25	-	0.16%
5-05-2016	463.75	468.75	472.50	461.88	-	-1.96%
5-04-2016	473.00	470.75	476.50	469.12	-	0.21%
5-03-2016	472.00	487.38	492.75	468.50	-	-3.10%
5-02-2016	487.12	486.75	490.00	481.50	-	-0.44%
4-29-2016	489.25	483.75	490.75	480.75	-	0.72%
4-28-2016	485.75	483.75	497.00	481.50	-	0.62%
4-27-2016	482.75	486.50	489.50	480.50	-	-1.13%
4-26-2016	488.25	478.12	488.50	474.25	-	2.41%
4-25-2016	476.75	473.75	485.38	469.00	-	2.03%
4-22-2016	467.25	492.88	493.12	465.62	-	-5.77%
4-21-2016	495.88	503.50	510.75	491.00	-	-1.42%
4-20-2016	503.00	485.25	503.75	485.25	-	3.60%
4-19-2016	485.50	473.00	487.75	471.25	-	2.75%
4-18-2016	472.50	461.00	477.00	460.75	-	2.66%
4-15-2016	460.25	459.25	462.25	455.00	-	0.38%
4-14-2016	458.50	462.50	465.50	454.50	-	-1.24%
4-13-2016	464.25	451.75	466.62	450.25	-	2.37%
4-12-2016	453.50	447.62	457.00	446.75	-	1.45%
4-11-2016	447.00	457.88	457.88	446.25	-	-3.14%
4-08-2016	461.50	457.50	462.50	456.50	-	0.93%
4-07-2016	457.25	463.00	465.25	457.12	-	-1.30%
4-06-2016	463.25	473.00	473.00	461.75	-	-2.16%
4-05-2016	473.50	475.00	476.50	470.25	-	-0.21%
4-04-2016	474.50	476.38	479.00	470.50	-	-0.21%
4-01-2016	475.50	473.75	475.50	467.00	-	0.21%
3-31-2016	474.50	464.00	475.00	455.88	-	2.21%
3-30-2016	464.25	476.00	477.50	463.25	-	-2.67%
3-29-2016	477.00	471.50	477.25	471.00	-	1.06%
3-28-2016	472.00	465.25	477.25	464.00	-	1.83%
3-24-2016	463.50	463.13	464.38	458.62	-	0.03%
3-23-2016	463.38	467.38	467.38	462.62	-	-0.86%
3-22-2016	467.38	466.25	470.62	463.38	-	0.21%
3-21-2016	466.38	468.62	472.00	463.88	-	0.65%
3-18-2016	463.38	463.00	463.88	457.88	-	0.22%
3-17-2016	462.38	472.13	475.88	460.12	-	-1.75%
3-16-2016	470.62	476.88	477.12	469.88	-	-1.36%
3-15-2016	477.12	477.75	479.12	473.12	-	-0.31%
3-14-2016	478.62	475.63	479.38	472.88	-	0.58%
3-11-2016	475.88	476.88	478.38	471.62	-	-0.10%
3-10-2016	476.38	467.88	477.38	465.13	-	1.76%
3-09-2016	468.12	464.62	468.38	461.12	-	0.64%
3-08-2016	465.13	461.38	465.62	457.12	-	0.43%
3-07-2016	463.13	465.00	468.38	461.88	-	0.38%
3-04-2016	461.38	459.63	464.38	456.12	-	0.49%
3-03-2016	459.12	449.62	461.88	449.38	-	2.00%
3-02-2016	450.12	447.00	451.38	442.38	-	0.90%
3-01-2016	446.12	453.38	454.63	445.62	-	-1.49%
2-29-2016	452.88	455.12	456.38	450.63	-	0.17%
2-26-2016	452.12	453.88	456.12	449.13	-	-0.22%
2-25-2016	453.12	452.25	455.88	449.62	-	0.39%
2-24-2016	451.38	455.62	456.12	446.62	-	-0.99%
2-23-2016	455.88	463.50	465.88	455.38	-	-1.72%
2-22-2016	463.88	466.38	469.38	458.25	-	0.43%
2-19-2016	461.88	461.88	464.50	460.12	-	-0.11%
2-18-2016	462.38	468.50	468.50	462.12	-	-1.39%
2-17-2016	468.88	464.50	470.00	462.75	-	0.97%
2-16-2016	464.38	460.75	465.00	459.88	-	1.53%
2-12-2016	457.38	458.88	462.00	455.12	-	-0.22%
2-11-2016	458.38	460.38	465.75	457.88	-	-0.60%
2-10-2016	461.12	458.12	462.75	456.62	-	0.82%
2-09-2016	457.38	459.12	460.25	455.12	-	-0.22%
2-08-2016	458.38	466.25	468.88	457.75	-	-1.77%
2-05-2016	466.62	473.50	474.12	465.75	-	-1.27%
2-04-2016	472.62	479.12	482.50	472.62	-	-1.51%
2-03-2016	479.88	475.62	480.12	474.62	-	0.95%
2-02-2016	475.38	475.75	483.00	473.25	-	-0.05%
2-01-2016	475.62	476.25	477.25	471.38	-	-0.78%
1-29-2016	479.38	472.25	479.38	470.88	-	1.54%
1-28-2016	472.12	476.75	476.88	470.62	-	-0.89%
1-27-2016	476.38	484.25	485.75	473.62	-	-1.80%
1-26-2016	485.12	481.62	488.50	478.12	-	0.83%
1-25-2016	481.12	475.75	483.75	475.75	-	1.21%
1-22-2016	475.38	474.75	479.75	472.62	-	0.00%
1-21-2016	475.38	472.38	480.00	470.50	-	0.80%
1-20-2016	471.62	473.00	475.38	467.38	-	-0.58%
1-19-2016	474.38	475.25	478.88	470.62	-	0.21%
1-17-2016	473.38	473.38	473.38	473.38	-	0.00%
1-15-2016	473.38	469.00	474.62	465.12	-	0.96%
1-14-2016	468.88	477.75	477.88	468.12	-	-1.88%
1-13-2016	477.88	480.25	483.75	476.62	-	-0.73%
1-12-2016	481.38	470.00	483.12	463.88	-	2.61%
1-11-2016	469.12	481.00	481.12	466.62	-	-1.93%
1-08-2016	478.38	468.12	479.62	467.62	-	2.14%
1-07-2016	468.38	463.50	468.88	456.38	-	1.24%
1-06-2016	462.62	461.50	465.62	457.00	-	0.27%
1-05-2016	461.38	460.38	464.62	458.62	-	0.65%
1-04-2016	458.38	472.50	472.50	456.12	-	-2.34%
12-31-2015	469.38	469.88	472.25	468.88	-	-0.05%
12-30-2015	469.62	476.38	479.12	469.38	-	-1.31%
12-29-2015	475.88	467.38	476.62	467.38	-	1.98%
12-28-2015	466.62	467.50	472.38	465.88	-	-0.29%
12-27-2015	468.00	468.00	468.00	468.00	-	0.00%
12-24-2015	468.00	468.62	471.62	467.38	-	-0.35%
12-23-2015	469.62	472.62	474.88	468.38	-	-0.42%
12-22-2015	471.62	479.50	482.62	471.62	-	-1.57%
12-21-2015	479.12	485.75	490.88	478.38	-	-1.44%
12-18-2015	486.12	486.12	498.88	481.38	-	0.46%
12-17-2015	483.88	483.50	488.12	472.38	-	0.10%
12-16-2015	483.38	493.12	496.75	483.38	-	-2.13%
12-15-2015	493.88	493.38	497.88	486.38	-	0.10%
12-14-2015	493.38	491.38	496.88	488.62	-	0.61%
12-11-2015	490.38	494.75	497.88	487.62	-	-1.01%
12-10-2015	495.38	488.88	497.88	485.62	-	1.17%
12-09-2015	489.62	481.62	491.12	481.50	-	1.71%
12-08-2015	481.38	481.50	483.62	476.62	-	-0.31%
12-07-2015	482.88	489.38	492.88	482.12	-	-0.36%
12-04-2015	484.62	479.25	484.88	478.38	-	1.31%
12-03-2015	478.38	466.88	483.88	466.12	-	2.41%
12-02-2015	467.12	471.25	473.38	465.62	-	-0.90%
12-01-2015	471.38	474.62	480.12	470.88	-	-0.89%
11-30-2015	475.62	476.62	480.38	475.12	-	-0.70%
11-27-2015	479.00	487.62	487.62	478.12	-	-1.77%
11-25-2015	487.62	488.38	492.38	487.38	-	-0.10%
11-24-2015	488.12	496.75	497.12	487.88	-	-1.86%
11-23-2015	497.38	487.25	499.62	485.88	-	1.69%
11-20-2015	489.12	489.38	494.88	486.38	-	-0.25%
11-19-2015	490.38	483.00	492.75	481.62	-	1.45%
11-18-2015	483.38	487.38	490.25	480.62	-	-0.90%
11-17-2015	487.75	493.50	494.00	484.62	-	-1.24%
11-16-2015	493.88	494.88	498.00	490.50	-	-0.45%
11-13-2015	496.12	496.50	499.75	491.62	-	-0.30%
11-12-2015	497.62	496.00	500.50	492.38	-	0.50%
11-11-2015	495.12	491.88	498.00	490.38	-	0.76%
11-10-2015	491.38	502.38	503.75	488.12	-	-2.04%
11-09-2015	501.62	520.38	521.25	501.38	-	-4.06%
11-06-2015	522.88	524.75	526.00	517.88	-	-0.57%
11-05-2015	525.88	524.50	529.00	520.38	-	-0.09%
11-04-2015	526.38	516.12	530.75	508.38	-	1.94%
11-03-2015	516.38	507.62	516.62	506.00	-	1.67%
11-02-2015	507.88	521.38	522.75	506.88	-	-2.73%
10-30-2015	522.12	515.25	523.75	515.12	-	1.31%
10-29-2015	515.38	505.75	517.25	505.12	-	1.88%
10-28-2015	505.88	507.62	508.75	500.12	-	-0.64%
10-27-2015	509.12	509.88	518.00	506.62	-	-0.05%
10-26-2015	509.38	493.62	512.00	493.62	-	3.82%
10-23-2015	490.62	490.50	494.25	484.88	-	-0.05%
10-22-2015	490.88	494.75	500.50	490.62	-	-0.76%
10-21-2015	494.62	491.88	497.50	490.38	-	0.82%
10-20-2015	490.62	486.38	491.62	483.62	-	1.08%
10-19-2015	485.38	491.38	493.50	484.38	-	-1.42%
10-16-2015	492.38	502.62	505.88	489.88	-	-1.94%
10-15-2015	502.12	507.25	512.75	502.12	-	-1.23%
10-14-2015	508.38	518.38	519.75	507.62	-	-2.02%
10-13-2015	518.88	507.00	521.75	505.12	-	2.37%
10-12-2015	506.88	507.38	510.62	503.38	-	-0.25%
10-09-2015	508.12	511.00	519.50	504.62	-	-0.59%
10-08-2015	511.12	516.00	522.00	509.38	-	-1.06%
10-07-2015	516.62	525.38	531.50	515.12	-	-1.76%
10-06-2015	525.88	514.62	526.62	513.12	-	1.94%
10-05-2015	515.88	512.38	518.00	508.88	-	0.63%
10-02-2015	512.62	516.75	523.00	512.62	-	-1.04%
10-01-2015	518.00	512.38	523.75	511.88	-	1.12%
9-30-2015	512.25	503.38	515.50	498.38	-	1.66%
9-29-2015	503.88	505.88	509.75	500.62	-	-0.44%
9-28-2015	506.12	508.50	515.50	500.38	-	-0.39%
9-25-2015	508.12	497.88	510.50	496.38	-	2.21%
9-24-2015	497.12	506.00	509.00	496.88	-	-2.07%
9-23-2015	507.62	494.25	508.50	493.88	-	2.47%
9-22-2015	495.38	496.38	496.50	488.38	-	-0.25%
9-21-2015	496.62	486.25	499.25	480.62	-	2.05%
9-18-2015	486.62	481.62	489.00	480.12	-	1.20%
9-17-2015	480.88	488.25	489.75	480.88	-	-1.64%
9-16-2015	488.88	494.12	495.00	483.12	-	-1.21%
9-15-2015	494.88	500.62	503.25	492.38	-	-1.30%
9-14-2015	501.38	486.38	501.62	485.88	-	3.35%
9-11-2015	485.12	477.88	485.50	468.62	-	1.46%
9-10-2015	478.12	472.25	479.50	471.50	-	1.16%
9-09-2015	472.62	473.00	481.00	471.12	-	-0.53%
9-08-2015	475.12	469.12	476.62	469.12	-	1.71%
9-04-2015	467.12	465.88	469.62	463.12	-	0.48%
9-03-2015	464.88	479.25	479.38	464.88	-	-2.97%
9-02-2015	479.12	486.12	490.00	476.62	-	-1.34%
9-01-2015	485.62	484.12	491.50	482.12	-	0.05%
8-31-2015	485.38	484.12	485.88	476.62	-	1.62%
8-28-2015	477.62	484.88	487.75	476.12	-	-1.47%
8-27-2015	484.75	490.75	495.38	481.62	-	-1.27%
8-26-2015	491.00	498.38	499.88	488.38	-	-1.11%
8-25-2015	496.50	504.12	511.25	492.62	-	-1.54%
8-24-2015	504.25	498.12	504.38	487.50	-	0.98%
8-21-2015	499.38	504.50	507.12	495.75	-	-0.94%
8-20-2015	504.12	495.75	507.62	495.50	-	1.59%
8-19-2015	496.25	494.88	498.38	491.12	-	0.15%
8-18-2015	495.50	500.00	503.38	493.38	-	-1.02%
8-17-2015	500.62	503.62	508.75	498.50	-	-1.04%
8-14-2015	505.88	503.12	512.00	497.88	-	0.50%
8-13-2015	503.38	492.75	504.62	492.12	-	1.95%
8-12-2015	493.75	507.38	514.62	484.12	-	-2.64%
8-11-2015	507.12	522.88	524.38	504.12	-	-3.15%
8-10-2015	523.62	511.88	529.88	509.38	-	2.55%
8-07-2015	510.62	508.12	513.88	503.88	-	0.69%
8-06-2015	507.12	502.12	514.12	498.38	-	0.90%
8-05-2015	502.62	494.38	504.62	492.12	-	1.80%
8-04-2015	493.75	499.75	506.88	491.38	-	-1.42%
8-03-2015	500.88	497.12	500.88	490.62	-	0.55%
7-31-2015	498.12	497.12	503.38	495.88	-	0.15%
7-30-2015	497.38	496.38	504.38	493.88	-	0.28%
7-29-2015	496.00	511.75	512.38	495.88	-	-3.15%
7-28-2015	512.12	502.88	512.38	501.88	-	1.99%
7-27-2015	502.12	510.62	511.62	501.38	-	-2.00%
7-24-2015	512.38	520.50	523.38	509.62	-	-1.94%
7-23-2015	522.50	516.62	526.62	516.62	-	1.19%
7-22-2015	516.38	524.25	528.12	515.38	-	-1.43%
7-21-2015	523.88	533.50	537.62	523.88	-	-2.03%
7-20-2015	534.75	551.00	551.00	530.62	-	-3.52%
7-17-2015	554.25	560.75	561.25	546.25	-	-1.49%
7-16-2015	562.62	566.88	573.75	561.88	-	-0.79%
7-15-2015	567.12	568.88	569.38	558.88	-	-0.66%
7-14-2015	570.88	575.00	582.38	569.50	-	-0.80%
7-13-2015	575.50	574.25	576.62	567.00	-	0.07%
7-10-2015	575.12	576.62	587.38	570.00	-	-0.39%
7-09-2015	577.38	576.38	586.12	575.38	-	-0.15%
7-08-2015	578.25	583.75	587.62	573.12	-	-1.05%
7-07-2015	584.38	592.88	593.12	578.38	-	-1.77%
7-06-2015	594.88	585.50	599.62	572.38	-	1.13%
7-03-2015	588.25	588.25	588.25	588.25	-	0.00%
7-02-2015	588.25	587.50	600.62	574.12	-	0.17%
7-01-2015	587.25	614.25	615.00	576.12	-	-4.76%
6-30-2015	616.62	583.00	617.12	576.38	-	5.56%
6-29-2015	584.12	565.50	591.38	564.12	-	4.17%
6-26-2015	560.75	532.00	566.12	530.38	-	5.33%
6-25-2015	532.38	517.75	532.62	513.12	-	2.75%
6-24-2015	518.12	521.75	529.88	514.12	-	-0.86%
6-23-2015	522.62	501.88	522.62	501.88	-	4.16%
6-22-2015	501.75	487.88	504.12	487.38	-	2.63%
6-19-2015	488.88	487.75	492.25	483.62	-	0.20%
6-18-2015	487.88	491.38	497.88	487.38	-	-0.76%
6-17-2015	491.62	490.12	499.62	489.62	-	0.61%
6-16-2015	488.62	489.12	494.88	487.12	-	-0.05%
6-15-2015	488.88	503.25	503.25	486.12	-	-3.05%
6-12-2015	504.25	504.00	510.62	500.75	-	-0.17%
6-11-2015	505.12	513.88	515.25	502.75	-	-1.46%
6-10-2015	512.62	532.50	537.38	512.62	-	-3.78%
6-09-2015	532.75	527.25	537.12	524.12	-	0.97%
6-08-2015	527.62	516.38	532.62	516.38	-	2.06%
6-05-2015	517.00	523.50	533.88	516.25	-	-1.17%
6-04-2015	523.12	510.00	524.12	504.12	-	2.75%
6-03-2015	509.12	513.38	525.88	508.38	-	-0.68%
6-02-2015	512.62	495.12	513.12	493.12	-	3.61%
6-01-2015	494.75	478.00	495.38	474.12	-	3.53%
5-29-2015	477.88	487.12	489.12	474.62	-	-1.95%
5-28-2015	487.38	488.50	494.62	483.12	-	-0.18%
5-27-2015	488.25	495.88	496.12	482.38	-	-0.89%
5-26-2015	492.62	515.75	519.38	492.12	-	-4.34%
5-22-2015	515.00	521.38	528.88	511.12	-	-1.06%
5-21-2015	520.50	514.12	527.88	511.12	-	1.56%
5-20-2015	512.50	510.75	515.62	503.12	-	0.37%
5-19-2015	510.62	520.12	524.62	503.88	-	-2.16%
5-18-2015	521.88	510.88	529.88	507.88	-	2.18%
5-15-2015	510.75	515.00	519.62	506.12	-	-0.75%
5-14-2015	514.62	481.12	515.00	481.12	-	6.85%
5-13-2015	481.62	480.88	486.12	471.12	-	0.05%
5-12-2015	481.38	481.00	489.88	478.38	-	-0.05%
5-11-2015	481.62	482.88	484.12	476.38	-	-0.16%
5-08-2015	482.38	472.25	482.38	471.88	-	2.06%
5-07-2015	472.62	480.38	483.88	471.38	-	-1.38%
5-06-2015	479.25	468.38	482.12	467.50	-	2.68%
5-05-2015	466.75	470.88	472.62	461.12	-	-1.27%
5-04-2015	472.75	471.75	474.38	466.50	-	-0.24%
5-01-2015	473.88	476.12	479.12	468.62	-	-0.32%
4-30-2015	475.38	483.75	488.62	471.88	-	-1.76%
4-29-2015	483.88	476.50	483.88	474.12	-	1.57%
4-28-2015	476.38	475.12	478.38	464.12	-	0.53%
4-27-2015	473.88	488.38	490.38	472.62	-	-2.57%
4-24-2015	486.38	498.00	498.88	485.25	-	-2.36%
4-23-2015	498.12	499.75	503.38	497.62	-	-0.20%
4-22-2015	499.12	500.38	504.62	496.38	-	-0.27%
4-21-2015	500.50	498.38	506.38	494.38	-	0.38%
4-20-2015	498.62	493.88	499.12	492.12	-	1.12%
4-17-2015	493.12	494.00	499.75	490.88	-	-0.30%
4-16-2015	494.62	490.38	495.38	489.12	-	0.82%
4-15-2015	490.62	497.62	503.88	490.12	-	-1.38%
4-14-2015	497.50	503.88	506.12	496.38	-	-0.97%
4-13-2015	502.38	518.12	519.88	501.62	-	-4.63%
4-10-2015	526.75	517.88	527.38	515.62	-	1.52%
4-09-2015	518.88	525.25	526.62	513.88	-	-1.26%
4-08-2015	525.50	528.38	530.75	518.38	-	-0.26%
4-07-2015	526.88	525.88	533.88	517.88	-	-0.28%
4-06-2015	528.38	537.62	543.62	525.12	-	-1.03%
4-02-2015	533.88	527.75	544.12	522.62	-	0.95%
4-01-2015	528.88	513.38	528.88	506.12	-	3.12%
3-31-2015	512.88	531.38	531.50	509.12	-	-3.30%
3-30-2015	530.38	512.12	530.62	508.62	-	4.46%
3-27-2015	507.75	499.12	508.88	499.12	-	1.83%
3-26-2015	498.62	519.38	525.12	498.50	-	-3.90%
3-25-2015	518.88	523.12	527.88	516.12	-	-0.86%
3-24-2015	523.38	530.25	531.62	522.62	-	-2.10%
3-23-2015	534.62	533.75	540.38	531.88	-	0.85%
3-20-2015	530.12	510.12	530.38	510.12	-	3.67%
3-19-2015	511.38	516.00	519.88	505.38	-	0.05%
3-18-2015	511.12	502.25	512.38	500.88	-	1.49%
3-17-2015	503.62	516.00	517.88	503.12	-	-2.23%
3-16-2015	515.12	503.12	515.38	494.50	-	2.77%
3-13-2015	501.25	507.62	513.38	498.88	-	-1.18%
3-12-2015	507.25	498.25	512.62	498.12	-	1.73%
3-11-2015	498.62	494.12	502.12	493.88	-	0.96%
3-10-2015	493.88	489.75	496.62	483.38	-	0.77%
3-09-2015	490.12	484.25	494.88	484.12	-	1.63%
3-06-2015	482.25	480.88	485.38	479.38	-	0.34%
3-05-2015	480.62	496.12	496.38	480.38	-	-3.08%
3-04-2015	495.88	505.75	505.88	494.12	-	-1.69%
3-03-2015	504.38	501.50	506.88	493.12	-	0.90%
3-02-2015	499.88	513.75	518.62	499.62	-	-2.37%
2-27-2015	512.00	500.50	517.62	498.12	-	2.40%
2-26-2015	500.00	496.75	500.88	490.12	-	0.58%
2-25-2015	497.12	503.00	505.62	495.12	-	-1.24%
2-24-2015	503.38	504.62	510.62	502.12	-	-0.05%
2-23-2015	503.62	507.38	510.38	502.38	-	-1.23%
2-20-2015	509.88	527.38	531.38	509.62	-	-3.36%
2-19-2015	527.62	528.38	537.12	523.62	-	-0.09%
2-18-2015	528.12	538.00	543.38	523.62	-	-1.29%
2-17-2015	535.00	534.75	546.62	531.88	-	0.33%
2-13-2015	533.25	520.88	534.12	519.75	-	2.47%
2-12-2015	520.38	523.62	527.50	518.38	-	-0.90%
2-11-2015	525.12	521.00	527.88	516.12	-	0.82%
2-10-2015	520.88	527.88	530.75	518.75	-	-1.56%
2-09-2015	529.12	527.25	532.12	521.62	-	0.33%
2-06-2015	527.38	526.12	533.88	516.62	-	0.19%
2-05-2015	526.38	510.88	527.38	508.88	-	2.78%
2-04-2015	512.12	514.38	521.62	507.62	-	-0.15%
