
Date	Price	Open	High	Low	Vol.	Change %
11-18-2016	408.75	403.00	410.00	400.50	-	1.36%
11-17-2016	403.25	398.25	406.25	396.75	-	1.57%
11-16-2016	397.00	400.00	401.00	397.00	-	-0.50%
11-15-2016	399.00	394.75	402.00	393.00	-	1.27%
11-14-2016	394.00	403.50	403.75	392.75	-	-1.99%
11-11-2016	402.00	405.75	407.50	401.25	-	-0.74%
11-10-2016	405.00	408.50	414.25	402.50	-	-0.67%
11-09-2016	407.75	416.00	417.75	404.00	-	-1.63%
11-08-2016	414.50	410.50	419.75	408.38	-	1.47%
11-07-2016	408.50	414.12	415.75	406.75	-	-1.39%
11-04-2016	414.25	411.75	415.25	410.50	-	0.67%
11-03-2016	411.50	417.75	420.00	409.50	-	-1.67%
11-02-2016	418.50	414.38	420.25	412.25	-	1.09%
11-01-2016	414.00	416.00	418.25	411.00	-	-0.30%
10-31-2016	415.25	410.75	416.75	409.25	-	1.78%
10-28-2016	408.00	415.75	417.50	407.62	-	-1.69%
10-27-2016	415.00	412.00	418.75	411.75	-	0.79%
10-26-2016	411.75	403.50	414.12	403.00	-	1.73%
10-25-2016	404.75	403.75	406.50	398.88	-	0.31%
10-24-2016	403.50	413.50	416.88	400.75	-	-2.65%
10-21-2016	414.50	416.75	418.25	413.50	-	-0.60%
10-20-2016	417.00	420.12	422.75	415.50	-	-0.71%
10-19-2016	420.00	420.12	422.50	414.00	-	0.12%
10-18-2016	419.50	425.00	425.50	418.50	-	-1.12%
10-17-2016	424.25	418.75	425.50	416.25	-	0.83%
10-14-2016	420.75	415.50	428.25	415.25	-	1.02%
10-13-2016	416.50	397.75	417.00	397.50	-	4.78%
10-12-2016	397.50	404.88	414.00	396.25	-	-2.39%
10-11-2016	407.25	404.00	408.75	401.50	-	0.74%
10-10-2016	404.25	397.25	405.38	397.25	-	2.34%
10-07-2016	395.00	397.25	401.00	394.50	-	-0.06%
10-06-2016	395.25	407.75	409.50	393.50	-	-2.53%
10-05-2016	405.50	395.50	408.25	392.00	-	2.46%
10-04-2016	395.75	395.75	398.25	393.00	-	-0.25%
10-03-2016	396.75	400.50	401.75	391.75	-	-1.24%
9-30-2016	401.75	398.75	403.88	390.25	-	0.69%
9-29-2016	399.00	402.50	406.75	398.00	-	-1.09%
9-28-2016	403.38	404.75	407.25	402.00	-	-0.22%
9-27-2016	404.25	398.00	405.00	394.25	-	2.08%
9-26-2016	396.00	403.75	407.00	395.50	-	-2.28%
9-23-2016	405.25	404.25	409.50	401.38	-	-0.12%
9-22-2016	405.75	406.00	411.75	404.50	-	-0.61%
9-21-2016	408.25	405.00	409.00	402.50	-	0.62%
9-20-2016	405.75	403.25	410.00	401.50	-	0.43%
9-19-2016	404.00	404.75	409.00	400.00	-	0.03%
9-16-2016	403.88	398.75	404.50	394.25	-	1.10%
9-15-2016	399.50	402.00	406.75	398.25	-	-0.68%
9-14-2016	402.25	400.75	404.25	395.25	-	0.56%
9-13-2016	400.00	408.00	410.88	399.25	-	-2.14%
9-12-2016	408.75	402.50	410.00	400.00	-	1.43%
9-09-2016	403.00	405.50	406.00	397.12	-	-0.74%
9-08-2016	406.00	403.00	406.75	398.50	-	0.87%
9-07-2016	402.50	398.12	405.00	397.50	-	1.13%
9-06-2016	398.00	398.25	402.75	395.00	-	-0.25%
9-02-2016	399.00	394.50	401.50	394.50	-	1.11%
9-01-2016	394.62	391.50	397.25	389.75	-	1.84%
8-31-2016	387.50	392.88	395.75	387.00	-	-1.27%
8-30-2016	392.50	397.00	400.75	391.75	-	-1.20%
8-29-2016	397.25	407.25	407.75	395.50	-	3.42%
8-26-2016	384.12	401.00	402.38	381.25	-	-4.30%
8-25-2016	401.38	404.75	408.00	401.38	-	-0.77%
8-24-2016	404.50	407.88	409.25	403.00	-	-0.74%
8-23-2016	407.50	414.75	415.00	407.00	-	-1.87%
8-22-2016	415.25	427.25	429.12	414.75	-	-2.87%
8-19-2016	427.50	426.62	432.50	422.50	-	0.06%
8-18-2016	427.25	424.50	428.00	420.00	-	0.23%
8-17-2016	426.25	423.38	428.38	419.75	-	0.65%
8-16-2016	423.50	420.88	427.88	414.88	-	0.21%
8-15-2016	422.62	422.00	430.00	417.25	-	0.00%
8-12-2016	422.62	416.12	422.62	406.62	-	1.59%
