Index,Date,Price,Open,High,Low,Vol.,Change %
0,2016-11-18,408.75,403.0,410.0,400.5,-,1.36%
1,2016-11-17,403.25,398.25,406.25,396.75,-,1.57%
2,2016-11-16,397.0,400.0,401.0,397.0,-,-0.50%
3,2016-11-15,399.0,394.75,402.0,393.0,-,1.27%
4,2016-11-14,394.0,403.5,403.75,392.75,-,-1.99%
5,2016-11-11,402.0,405.75,407.5,401.25,-,-0.74%
6,2016-11-10,405.0,408.5,414.25,402.5,-,-0.67%
7,2016-11-09,407.75,416.0,417.75,404.0,-,-1.63%
8,2016-11-08,414.5,410.5,419.75,408.38,-,1.47%
9,2016-11-07,408.5,414.12,415.75,406.75,-,-1.39%
10,2016-11-04,414.25,411.75,415.25,410.5,-,0.67%
11,2016-11-03,411.5,417.75,420.0,409.5,-,-1.67%
12,2016-11-02,418.5,414.38,420.25,412.25,-,1.09%
13,2016-11-01,414.0,416.0,418.25,411.0,-,-0.30%
14,2016-10-31,415.25,410.75,416.75,409.25,-,1.78%
15,2016-10-28,408.0,415.75,417.5,407.62,-,-1.69%
16,2016-10-27,415.0,412.0,418.75,411.75,-,0.79%
17,2016-10-26,411.75,403.5,414.12,403.0,-,1.73%
18,2016-10-25,404.75,403.75,406.5,398.88,-,0.31%
19,2016-10-24,403.5,413.5,416.88,400.75,-,-2.65%
20,2016-10-21,414.5,416.75,418.25,413.5,-,-0.60%
21,2016-10-20,417.0,420.12,422.75,415.5,-,-0.71%
22,2016-10-19,420.0,420.12,422.5,414.0,-,0.12%
23,2016-10-18,419.5,425.0,425.5,418.5,-,-1.12%
24,2016-10-17,424.25,418.75,425.5,416.25,-,0.83%
25,2016-10-14,420.75,415.5,428.25,415.25,-,1.02%
26,2016-10-13,416.5,397.75,417.0,397.5,-,4.78%
27,2016-10-12,397.5,404.88,414.0,396.25,-,-2.39%
28,2016-10-11,407.25,404.0,408.75,401.5,-,0.74%
29,2016-10-10,404.25,397.25,405.38,397.25,-,2.34%
30,2016-10-07,395.0,397.25,401.0,394.5,-,-0.06%
31,2016-10-06,395.25,407.75,409.5,393.5,-,-2.53%
32,2016-10-05,405.5,395.5,408.25,392.0,-,2.46%
33,2016-10-04,395.75,395.75,398.25,393.0,-,-0.25%
34,2016-10-03,396.75,400.5,401.75,391.75,-,-1.24%
35,2016-9-30,401.75,398.75,403.88,390.25,-,0.69%
36,2016-9-29,399.0,402.5,406.75,398.0,-,-1.09%
37,2016-9-28,403.38,404.75,407.25,402.0,-,-0.22%
38,2016-9-27,404.25,398.0,405.0,394.25,-,2.08%
39,2016-9-26,396.0,403.75,407.0,395.5,-,-2.28%
40,2016-9-23,405.25,404.25,409.5,401.38,-,-0.12%
41,2016-9-22,405.75,406.0,411.75,404.5,-,-0.61%
42,2016-9-21,408.25,405.0,409.0,402.5,-,0.62%
43,2016-9-20,405.75,403.25,410.0,401.5,-,0.43%
44,2016-9-19,404.0,404.75,409.0,400.0,-,0.03%
45,2016-9-16,403.88,398.75,404.5,394.25,-,1.10%
46,2016-9-15,399.5,402.0,406.75,398.25,-,-0.68%
47,2016-9-14,402.25,400.75,404.25,395.25,-,0.56%
48,2016-9-13,400.0,408.0,410.88,399.25,-,-2.14%
49,2016-9-12,408.75,402.5,410.0,400.0,-,1.43%
