,File,Oil,Wheat
0,A.csv,0.18298186042753206,-0.030653467069334587
1,AA.csv,-0.0007898724051419405,-0.015102083045714657
2,AAL.csv,-0.4343537528705686,-0.03748287004389008
3,AAMC.csv,15.104175326031067,-0.9633068599580019
4,AAN.csv,-0.023497154073051328,0.0028484515175434474
5,AAOI.csv,0.0004330924412004719,-0.036633477377244046
6,AAON.csv,0.026832674762970896,-0.007509817408837195
7,AAP.csv,-1.207920382964563,-0.11421824872851334
8,AAPL.csv,3.8346028528352916,0.7801694127003584
9,AAT.csv,-0.2259162041918534,-0.00861187956151681
10,AAWW.csv,-0.13199648318651852,0.03785051660392988
11,ABAX.csv,-0.32103828758665054,-0.01467169758420282
12,ABBV.csv,-0.11172829002916936,-0.016296015302988374
13,ABC.csv,-0.5615524243789916,-0.0772286543821608
14,ABCB.csv,-0.2493775070150858,-0.03200774327973522
15,ABCO.csv,0.4246449001670089,-0.03729804044082856
16,ABFS.csv,0.11680750102639377,-0.05499518667374255
17,ABG.csv,-0.4919300560566321,-0.05866213478551647
18,ABM.csv,-0.05854388709312671,-0.02412725244207764
19,ABMD.csv,-1.0455498248991388,-0.09012704177627641
20,ABT.csv,-0.14431369113891804,0.062417889837179025
21,ACAD.csv,-0.2590018928027794,-0.04819844271596604
22,ACAS.csv,-0.05214562325661633,-0.005885615540384496
23,ACAT.csv,0.28752994742767674,0.006259765458164574
24,ACC.csv,-0.12623387593196442,0.006844647906916945
25,ACCL.csv,0.0759235241055663,0.007706020580189031
26,ACCO.csv,-0.012455909179686626,-0.0036359131232116724
27,ACE.csv,-0.4018263087572242,-0.06571519799720572
28,ACET.csv,-0.18311298202762005,-0.019487114820804157
29,ACFN.csv,0.07295910502161189,0.01658213905199813
30,ACGL.csv,-0.433763426134027,0.0024364525815872102
31,ACHC.csv,-0.5058965184478612,-0.05328356136046126
32,ACHN.csv,-0.08910590766329284,0.003571888823131835
33,ACI.csv,0.11893322812588569,0.01991077967545171
34,ACIW.csv,0.32780843037151736,0.021390924146054858
35,ACLS.csv,-0.03026962352562325,-0.009880865857019543
36,ACM.csv,-0.030405363784142374,-0.013612165159794189
37,ACN.csv,-0.6442625560216955,-0.04956313015328744
38,ACO.csv,0.22947113723415163,0.012401636688309845
39,ACOR.csv,-0.09834624316063947,-0.0028357771291413277
40,ACRE.csv,-0.024900329763143082,0.012488431902711468
41,ACRX.csv,0.04428315718663206,-0.004884197615053469
42,ACTG.csv,0.2832303075997328,0.015050166902459895
43,ACW.csv,0.05046058213225575,0.0004392025029122954
44,ACXM.csv,0.03240404108327142,-0.011691020248475037
45,ADBE.csv,-0.7059243666826605,-0.08936975500813582
46,ADC.csv,-0.1115964693883425,-0.01715297005746234
47,ADES.csv,0.5628598434456438,-0.031650415649782
48,ADI.csv,-0.27732936171095324,-0.023744162887025973
49,ADM.csv,-0.010448114868004612,-0.03958047289794208
50,ADMS.csv,-0.03330863917724292,-0.002862676512018849
51,ADNC.csv,0.19710612814835932,8.575991507659377e-05
52,ADP.csv,-0.2907539799709938,-0.053384129333904816
53,ADS.csv,-1.1996025602547886,-0.22764610216298628
54,ADSK.csv,-0.271178294906864,-0.05239665667993078
55,ADT.csv,0.07646143645359932,0.015955231839101917
56,ADTN.csv,0.24334066859166403,-0.01284898409110972
57,ADUS.csv,-0.09022338722145136,-0.04002177994601468
58,ADVS.csv,-0.06958923009513265,-0.005886549101138937
59,AE.csv,0.08189263723718149,-0.033779068207899915
60,AEC.csv,-0.14597614434884057,-0.01013695500458849
61,AEE.csv,-0.13014460586347035,-0.02631233724881212
62,AEGN.csv,-0.03127877830405016,0.008488444609474092
63,AEGR.csv,0.7705693882195351,-0.04384002106026642
64,AEIS.csv,-0.22644495746941382,-0.03305961259914768
65,AEL.csv,-0.07949536725336212,-0.021831840013087807
66,AEO.csv,-0.07368813632473285,0.017676802442484686
67,AEP.csv,-0.2177481440033912,-0.025725174252708368
68,AEPI.csv,-0.9032971349841707,0.0067913595363018825
69,AERI.csv,-0.0817103680708811,-0.05691965721401625
70,AES.csv,0.06435464186702,-0.007557702111924398
71,AET.csv,-0.7685252832265835,-0.09780733879697412
72,AF.csv,-0.07686807403617932,-0.0034271638449668794
73,AFAM.csv,-0.3199077349007909,-0.004657844773881006
74,AFFX.csv,-0.03160113602749563,-0.012443066008689831
75,AFG.csv,-0.34083018941806265,-0.05603618186509904
76,AFH.csv,-0.12248092412465066,0.001008769635392933
77,AFL.csv,-0.12133664586456822,-0.017435690473681
78,AFOP.csv,-0.040802549151669476,-0.004359634262293582
79,AFSI.csv,-0.3915638441553443,-0.024749776047494447
80,AGCO.csv,0.08178681755297613,-0.007164141780051622
81,AGEN.csv,-0.04736668093372986,0.001024517125628699
82,AGII.csv,-0.3357296876143061,-0.03302155343370099
83,AGIO.csv,-0.8165994282652562,0.05970785398670222
84,AGM.csv,-0.08203251515718869,-0.013779745541806021
85,AGN.csv,-2.413125353176558,-0.2665386218204949
86,AGNC.csv,0.041237059151913405,0.0271086640541394
87,AGO.csv,-0.14276918308844488,-0.017841606603233407
88,AGTC.csv,0.06814883130356973,0.053530545943605685
89,AGX.csv,-0.27665265117617055,-0.04667332882302726
90,AGYS.csv,0.00823303609826068,-0.009464318614820189
91,AHC.csv,0.024739995555003284,-0.006119203510080236
92,AHH.csv,-0.005794329149046032,-0.008285191442321968
93,AHL.csv,-0.22949533653353246,-0.023023971265711034
94,AHP.csv,0.04379993928904162,0.021847678656973082
95,AHS.csv,-0.3343252686818286,-0.016349308721053123
