Aug;2;2016;400.75;405.75;410.50;399.38;-1.48;;;;;;;
Aug;1;2016;406.75;407.75;415.50;406.75;-0.12;;;;;;;
Jul;29;2016;407.25;411.12;412.75;403.75;-0.46;;;;;;;
Jul;28;2016;409.12;415.38;420.00;408.50;-1.42;;;;;;;
Jul;27;2016;415.00;415.62;421.00;414.25;0.03;;;;;;;
Jul;26;2016;414.88;425.38;429.25;414.25;-3.40;;;;;;;
Jul;25;2016;429.50;428.25;435.25;421.25;0.79;;;;;;;
Jul;22;2016;426.12;418.38;426.88;407.25;1.88;;;;;;;
Jul;21;2016;418.25;413.50;419.75;409.00;1.33;;;;;;;
Jul;20;2016;412.75;418.25;423.75;406.75;-1.37;;;;;;;
Jul;19;2016;418.50;427.50;428.25;416.50;-2.73;;;;;;;
Jul;18;2016;430.25;427.75;431.75;420.62;1.12;;;;;;;
Jul;15;2016;425.50;434.75;439.75;425.50;-1.90;;;;;;;
Jul;14;2016;433.75;442.38;448.00;431.38;-1.64;;;;;;;
Jul;13;2016;441.00;439.38;451.50;437.00;0.80;;;;;;;
Jul;12;2016;437.50;431.00;439.25;424.00;1.57;;;;;;;
Jul;11;2016;430.75;437.00;441.88;426.75;-1.09;;;;;;;
Jul;8;2016;435.50;427.25;439.50;424.00;2.32;;;;;;;
Jul;7;2016;425.62;430.38;438.75;424.50;-0.90;;;;;;;
Jul;6;2016;429.50;432.00;434.00;421.25;-0.46;;;;;;;
Jul;5;2016;431.50;431.25;432.50;416.00;0.20;;;;;;;
Jul;1;2016;430.62;445.38;445.50;428.25;-3.88;;;;;;;
Jun;30;2016;448.00;445.75;453.50;438.00;0.84;;;;;;;
Jun;29;2016;444.25;457.88;460.50;444.00;-3.06;;;;;;;
Jun;28;2016;458.25;458.38;467.25;456.50;-0.22;;;;;;;
Jun;27;2016;459.25;464.00;470.25;458.50;1.32;;;;;;;
Jun;24;2016;453.25;454.50;455.00;442.25;-0.17;;;;;;;
Jun;23;2016;454.00;459.50;461.50;453.50;-1.04;;;;;;;
Jun;22;2016;458.75;460.50;465.00;458.50;0.14;;;;;;;
Jun;21;2016;458.12;473.25;476.50;458.00;-3.30;;;;;;;
Jun;20;2016;473.75;477.00;479.75;473.75;-1.61;;;;;;;
Jun;17;2016;481.50;473.25;482.00;472.75;1.90;;;;;;;
Jun;16;2016;472.50;477.38;479.50;471.25;-1.25;;;;;;;
Jun;15;2016;478.50;482.88;489.75;478.50;-1.29;;;;;;;
Jun;14;2016;484.75;491.25;493.38;481.50;-1.47;;;;;;;
Jun;13;2016;492.00;498.25;503.25;491.50;-0.61;;;;;;;
Jun;10;2016;495.00;509.00;512.50;494.62;-2.89;;;;;;;
Jun;9;2016;509.75;517.88;519.00;506.25;-1.97;;;;;;;
Jun;8;2016;520.00;508.75;523.88;506.25;2.06;;;;;;;
Jun;7;2016;509.50;506.50;513.50;501.00;0.34;;;;;;;
Jun;6;2016;507.75;497.75;514.75;497.75;2.01;;;;;;;
Jun;3;2016;497.75;484.00;498.00;482.50;2.52;;;;;;;
Jun;2;2016;485.50;474.00;487.00;473.00;2.53;;;;;;;
Jun;1;2016;473.50;463.38;474.75;463.38;2.10;;;;;;;
May;31;2016;463.75;480.62;483.88;463.75;-3.69;;;;;;;
May;27;2016;481.50;481.38;484.75;479.00;0.16;;;;;;;
May;26;2016;480.75;465.75;481.50;465.50;3.11;;;;;;;
May;25;2016;466.25;464.00;468.88;463.25;0.38;;;;;;;
May;24;2016;464.50;462.75;470.00;458.25;0.43;;;;;;;
May;23;2016;462.50;467.38;469.12;461.25;-1.23;;;;;;;
May;20;2016;468.25;468.75;474.50;464.25;-0.21;;;;;;;
May;19;2016;469.25;478.50;479.75;462.75;-2.44;;;;;;;
May;18;2016;481.00;481.38;484.50;477.25;-0.10;;;;;;;
May;17;2016;481.50;473.50;484.50;473.25;1.21;;;;;;;
May;16;2016;475.75;473.75;476.75;467.75;0.21;;;;;;;
May;13;2016;474.75;468.25;477.50;465.00;1.44;;;;;;;
May;12;2016;468.00;457.62;468.00;457.62;1.96;;;;;;;
May;11;2016;459.00;461.50;464.75;457.00;-0.70;;;;;;;
May;10;2016;462.25;457.38;468.50;455.50;1.32;;;;;;;
May;9;2016;456.25;464.00;467.00;455.00;-1.78;;;;;;;
May;6;2016;464.50;462.62;470.25;462.25;0.16;;;;;;;
May;5;2016;463.75;468.75;472.50;461.88;-1.96;;;;;;;
May;4;2016;473.00;470.75;476.50;469.12;0.21;;;;;;;
May;3;2016;472.00;487.38;492.75;468.50;-3.10;;;;;;;
May;2;2016;487.12;486.75;490.00;481.50;-0.44;;;;;;;
Apr;29;2016;489.25;483.75;490.75;480.75;0.72;;;;;;;
Apr;28;2016;485.75;483.75;497.00;481.50;0.62;;;;;;;
Apr;27;2016;482.75;486.50;489.50;480.50;-1.13;;;;;;;
Apr;26;2016;488.25;478.12;488.50;474.25;2.41;;;;;;;
Apr;25;2016;476.75;473.75;485.38;469.00;2.03;;;;;;;
Apr;22;2016;467.25;492.88;493.12;465.62;-5.77;;;;;;;
Apr;21;2016;495.88;503.50;510.75;491.00;-1.42;;;;;;;
Apr;20;2016;503.00;485.25;503.75;485.25;3.60;;;;;;;
Apr;19;2016;485.50;473.00;487.75;471.25;2.75;;;;;;;
Apr;18;2016;472.50;461.00;477.00;460.75;2.66;;;;;;;
Apr;15;2016;460.25;459.25;462.25;455.00;0.38;;;;;;;
Apr;14;2016;458.50;462.50;465.50;454.50;-1.24;;;;;;;
Apr;13;2016;464.25;451.75;466.62;450.25;2.37;;;;;;;
Apr;12;2016;453.50;447.62;457.00;446.75;1.45;;;;;;;
Apr;11;2016;447.00;457.88;457.88;446.25;-3.14;;;;;;;
Apr;8;2016;461.50;457.50;462.50;456.50;0.93;;;;;;;
Apr;7;2016;457.25;463.00;465.25;457.12;-1.30;;;;;;;
Apr;6;2016;463.25;473.00;473.00;461.75;-2.16;;;;;;;
Apr;5;2016;473.50;475.00;476.50;470.25;-0.21;;;;;;;
Apr;4;2016;474.50;476.38;479.00;470.50;-0.21;;;;;;;
Apr;1;2016;475.50;473.75;475.50;467.00;0.21;;;;;;;
Mar;31;2016;474.50;464.00;475.00;455.88;2.21;;;;;;;
Mar;30;2016;464.25;476.00;477.50;463.25;-2.67;;;;;;;
Mar;29;2016;477.00;471.50;477.25;471.00;1.06;;;;;;;
Mar;28;2016;472.00;465.25;477.25;464.00;1.83;;;;;;;
Mar;24;2016;463.50;463.13;464.38;458.62;0.03;;;;;;;
Mar;23;2016;463.38;467.38;467.38;462.62;-0.86;;;;;;;
Mar;22;2016;467.38;466.25;470.62;463.38;0.21;;;;;;;
Mar;21;2016;466.38;468.62;472.00;463.88;0.65;;;;;;;
Mar;18;2016;463.38;463.00;463.88;457.88;0.22;;;;;;;
Mar;17;2016;462.38;472.13;475.88;460.12;-1.75;;;;;;;
Mar;16;2016;470.62;476.88;477.12;469.88;-1.36;;;;;;;
Mar;15;2016;477.12;477.75;479.12;473.12;-0.31;;;;;;;
Mar;14;2016;478.62;475.63;479.38;472.88;0.58;;;;;;;
Mar;11;2016;475.88;476.88;478.38;471.62;-0.10;;;;;;;
Mar;10;2016;476.38;467.88;477.38;465.13;1.76;;;;;;;
Mar;9;2016;468.12;464.62;468.38;461.12;0.64;;;;;;;
Mar;8;2016;465.13;461.38;465.62;457.12;0.43;;;;;;;
Mar;7;2016;463.13;465.00;468.38;461.88;0.38;;;;;;;
Mar;4;2016;461.38;459.63;464.38;456.12;0.49;;;;;;;
Mar;3;2016;459.12;449.62;461.88;449.38;2.00;;;;;;;
Mar;2;2016;450.12;447.00;451.38;442.38;0.90;;;;;;;
Mar;1;2016;446.12;453.38;454.63;445.62;-1.49;;;;;;;
Feb;29;2016;452.88;455.12;456.38;450.63;0.17;;;;;;;
Feb;26;2016;452.12;453.88;456.12;449.13;-0.22;;;;;;;
Feb;25;2016;453.12;452.25;455.88;449.62;0.39;;;;;;;
Feb;24;2016;451.38;455.62;456.12;446.62;-0.99;;;;;;;
Feb;23;2016;455.88;463.50;465.88;455.38;-1.72;;;;;;;
Feb;22;2016;463.88;466.38;469.38;458.25;0.43;;;;;;;
Feb;19;2016;461.88;461.88;464.50;460.12;-0.11;;;;;;;
Feb;18;2016;462.38;468.50;468.50;462.12;-1.39;;;;;;;
