Date,Open,High,Low,Close,Volume
14-Nov-16,-,0.71,0.70,0.70,530205
11-Nov-16,0.72,0.72,0.71,0.71,700000
10-Nov-16,0.73,0.73,0.71,0.72,531072
9-Nov-16,0.72,0.73,0.72,0.73,42026
8-Nov-16,0.73,0.73,0.72,0.72,74535
7-Nov-16,0.73,0.74,0.73,0.73,919141
4-Nov-16,0.73,0.73,0.72,0.73,63710
3-Nov-16,0.74,0.74,0.72,0.72,95407
2-Nov-16,0.74,0.74,0.73,0.74,30810
1-Nov-16,0.73,0.74,0.73,0.73,91400
31-Oct-16,0.72,0.73,0.72,0.73,69196
28-Oct-16,0.74,0.74,0.73,0.73,33340
27-Oct-16,0.74,0.74,0.73,0.74,173262
26-Oct-16,0.72,0.73,0.72,0.73,87937
25-Oct-16,0.71,0.72,0.71,0.71,129042
24-Oct-16,0.74,0.74,0.71,0.71,567965
21-Oct-16,0.74,0.74,0.74,0.74,75385
20-Oct-16,0.75,0.75,0.74,0.74,104200
19-Oct-16,0.74,0.74,0.73,0.73,118400
18-Oct-16,0.75,0.75,0.74,0.74,842774
17-Oct-16,0.75,0.75,0.74,0.74,191384
14-Oct-16,0.74,0.75,0.74,0.75,797416
13-Oct-16,0.71,0.72,0.71,0.72,715441
12-Oct-16,0.72,0.72,0.72,0.72,152700
11-Oct-16,0.72,0.72,0.71,0.72,50000
10-Oct-16,0.70,0.72,0.70,0.71,382952
7-Oct-16,0.70,0.70,0.70,0.70,12000
6-Oct-16,0.72,0.72,0.71,0.71,122616
5-Oct-16,0.70,0.72,0.70,0.72,52064
4-Oct-16,0.70,0.70,0.70,0.70,481472
3-Oct-16,0.71,0.71,0.70,0.71,48562
30-Sep-16,0.70,0.71,0.69,0.70,125123
29-Sep-16,0.72,0.72,0.71,0.71,74642
28-Sep-16,0.72,0.72,0.71,0.72,45362
27-Sep-16,0.70,0.71,0.70,0.70,130000
26-Sep-16,0.72,0.72,0.70,0.71,27377
23-Sep-16,0.72,0.72,0.71,0.72,0
22-Sep-16,0.72,0.72,0.72,0.72,23850
21-Sep-16,0.71,0.72,0.70,0.72,11324
20-Sep-16,0.72,0.72,0.72,0.72,33386
19-Sep-16,0.72,0.72,0.72,0.72,1700
16-Sep-16,0.70,0.71,0.70,0.71,31141
15-Sep-16,0.71,0.71,0.71,0.71,19936
14-Sep-16,0.71,0.71,0.70,0.70,606719
13-Sep-16,0.72,0.72,0.71,0.72,92200
12-Sep-16,0.71,0.72,0.71,0.72,84050
9-Sep-16,0.71,0.71,0.71,0.71,34702
8-Sep-16,0.72,0.72,0.70,0.71,119645
7-Sep-16,0.71,0.72,0.71,0.71,424466
6-Sep-16,0.70,0.72,0.70,0.71,190200
5-Sep-16,0.71,0.71,0.70,0.71,19225
2-Sep-16,0.70,0.71,0.70,0.71,80914
1-Sep-16,0.70,0.70,0.69,0.70,709414
31-Aug-16,0.70,0.70,0.69,0.69,1212795
30-Aug-16,0.71,0.71,0.70,0.70,2901668
26-Aug-16,0.75,0.75,0.73,0.73,40500
25-Aug-16,0.76,0.76,0.75,0.75,305714
24-Aug-16,0.75,0.77,0.75,0.76,2262225
23-Aug-16,0.77,0.77,0.76,0.76,1622308
