Date,Value
2014-12-31,37.34
2013-12-31,38.62
2012-12-31,36.83
2011-12-31,39.2
2010-12-31,40.18
2009-12-31,41.24
2008-12-31,41.43
2007-12-31,38.18
2006-12-31,38.22
2005-12-31,27.01
2004-12-31,24.87
2003-12-31,26.17
2002-12-31,24.44
2001-12-31,27.47
2000-12-31,24.03
1999-12-31,22.17
1998-12-31,23.98
1997-12-31,25.46
1996-12-31,24.71
1995-12-31,24.65
1994-12-31,24.8
1993-12-31,25.39
1992-12-31,25.21
1991-12-31,24.98
1990-12-31,23.13
1989-12-31,21.4
1988-12-31,19.94
1987-12-31,20.32
1986-12-31,19.18
1985-12-31,20.47
1984-12-31,22.03
1983-12-31,21.54
1982-12-31,20.74
1981-12-31,22.09
1980-12-31,18.21
1979-12-31,14.07
1978-12-31,12.64
1977-12-31,12.71
1976-12-31,11.7
1975-12-31,11.21
1974-12-31,9.96
1973-12-31,6.24
1972-12-31,5.83
1971-12-31,5.38
1970-12-31,4.88
