Date,Value
2014-12-31,20.08
2013-12-31,17.42
2012-12-31,16.99
2011-12-31,18.82
2010-12-31,19.97
2009-12-31,20.56
2008-12-31,21.51
2007-12-31,19.36
2006-12-31,13.74
2005-12-31,13.51
2004-12-31,13.62
2003-12-31,14.24
2002-12-31,14.32
2001-12-31,13.63
2000-12-31,14.62
1999-12-31,14.69
1998-12-31,14.96
1997-12-31,15.49
1996-12-31,15.34
1995-12-31,15.45
1994-12-31,15.19
1993-12-31,15.97
1992-12-31,16.04
1991-12-31,16.09
1990-12-31,15.82
1989-12-31,15.75
1988-12-31,15.14
1987-12-31,16.54
1986-12-31,16.46
1985-12-31,15.35
1984-12-31,15.48
1983-12-31,17.2
1982-12-31,15.34
1981-12-31,13.49
1980-12-31,11.82
1979-12-31,9.68
1978-12-31,8.99
1977-12-31,7.72
1976-12-31,7.04
1975-12-31,6.43
1974-12-31,5.21
1973-12-31,4.22
1972-12-31,4.05
1971-12-31,3.76
1970-12-31,3.56
