Date,Value
2014-12-31,19.28
2013-12-31,19.3
2012-12-31,19.62
2011-12-31,22.96
2010-12-31,25.76
2009-12-31,24.54
2008-12-31,27.53
2007-12-31,25.53
2006-12-31,27.53
2005-12-31,24.11
2004-12-31,20.63
2003-12-31,20.92
2002-12-31,15.17
2001-12-31,16.28
2000-12-31,15.75
1999-12-31,13.96
1998-12-31,14.49
1997-12-31,15.23
1996-12-31,16.48
1995-12-31,16.97
1994-12-31,19.86
1993-12-31,19.53
1992-12-31,19.06
1991-12-31,18.07
1990-12-31,16.95
1989-12-31,15.52
1988-12-31,14.47
1987-12-31,14.74
1986-12-31,14.43
1985-12-31,15.34
1984-12-31,16.41
1983-12-31,15.66
1982-12-31,16.43
1981-12-31,15.55
1980-12-31,12.11
1979-12-31,10.42
1978-12-31,9.25
1977-12-31,8.97
1976-12-31,7.99
1975-12-31,7.97
1974-12-31,6.74
1973-12-31,4.43
1972-12-31,4.16
1971-12-31,3.89
1970-12-31,3.51
